time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-30T19:20:16.923Z,35.5735,74.5666,10,4.5,mb,,75,2.196,0.88,us,us70006sly,2020-03-14T22:23:04.040Z,"44 km SSE of Gilgit, Pakistan",earthquake,4.8,1.9,0.08,45,reviewed,us,us
2019-12-30T18:58:20.221Z,7.2683,-78.7006,10,4.6,mb,,61,4.229,0.69,us,us70006sll,2020-03-14T22:23:05.040Z,"65 km WSW of Jaqué, Panama",earthquake,8.9,1.9,0.067,66,reviewed,us,us
2019-12-30T18:43:36.410Z,28.8759,142.4958,10,4.9,mb,,105,1.794,0.58,us,us70006sla,2020-03-14T22:23:05.040Z,"Bonin Islands, Japan region",earthquake,3.6,1.8,0.046,149,reviewed,us,us
2019-12-30T18:14:06.078Z,-37.0797,78.3211,10,4.5,mb,,135,0.932,0.92,us,us70007068,2020-03-14T22:23:06.040Z,"Mid-Indian Ridge",earthquake,9.5,1.9,0.243,5,reviewed,us,us
2019-12-30T17:49:59.468Z,35.6305,74.6387,24.32,5,mww,,43,2.275,0.66,us,us70006sjv,2020-03-14T22:23:07.040Z,"43 km SE of Gilgit, Pakistan",earthquake,6.7,4.4,0.086,13,reviewed,us,us
2019-12-30T17:47:46.752Z,-33.3736,-178.9111,10,4.7,mb,,167,4.2,0.97,us,us70007066,2020-03-14T22:23:07.040Z,"south of the Kermadec Islands",earthquake,8.4,1.8,0.126,19,reviewed,us,us
2019-12-30T17:44:43.272Z,-37.1387,78.3923,10,4.8,mb,,89,0.927,0.63,us,us70007064,2020-03-14T22:23:07.040Z,"Mid-Indian Ridge",earthquake,10.2,1.9,0.135,18,reviewed,us,us
2019-12-30T17:28:26.422Z,35.7053,74.5835,10,4.5,mb,,85,2.318,1.34,us,us70007063,2020-03-14T22:23:08.040Z,"34 km SE of Gilgit, Pakistan",earthquake,7.6,1.9,0.121,20,reviewed,us,us
2019-12-30T17:18:57.445Z,35.5909,74.628,13.82,5.6,mww,,41,2.236,0.74,us,us70006sj8,2020-07-10T17:56:34.805Z,"46 km SE of Gilgit, Pakistan",earthquake,6.6,3.7,0.061,26,reviewed,us,us
2019-12-30T17:12:33.526Z,35.6686,74.4751,10,4.6,mb,,80,2.245,0.68,us,us70006sif,2020-03-14T22:23:09.040Z,"31 km SSE of Gilgit, Pakistan",earthquake,2.9,1.9,0.081,45,reviewed,us,us
